clip_uid,play_id,filmroom_url,pitch_type,game_date,game_pk,at_bat_number,pitch_number,stand,p_throws,balls,strikes,release_speed,description,video_file
831468_ab36_p4,c9dde319-9b04-3b61-9c6b-74813fc2266a,"https://www.mlb.com/video/search?q=playid=""c9dde319-9b04-3b61-9c6b-74813fc2266a""",CH,2026-03-09,831468,36,4,L,R,1,2,85.3,ball,
831468_ab36_p7,90fb7c93-08eb-34ce-8f57-c0528e47e4ad,"https://www.mlb.com/video/search?q=playid=""90fb7c93-08eb-34ce-8f57-c0528e47e4ad""",CH,2026-03-09,831468,36,7,L,R,3,2,83.1,foul,
831468_ab38_p5,c00cbf14-fcca-363a-89b7-b4b87d7323b9,"https://www.mlb.com/video/search?q=playid=""c00cbf14-fcca-363a-89b7-b4b87d7323b9""",CH,2026-03-09,831468,38,5,R,R,1,2,85,ball,
831468_ab38_p7,f7182929-930b-3dc6-9516-f2d28251b290,"https://www.mlb.com/video/search?q=playid=""f7182929-930b-3dc6-9516-f2d28251b290""",CH,2026-03-09,831468,38,7,R,R,3,2,84.5,swinging_strike,
831462_ab21_p5,57e5c479-796c-3c35-8d37-52cdc48462da,"https://www.mlb.com/video/search?q=playid=""57e5c479-796c-3c35-8d37-52cdc48462da""",CH,2026-03-13,831462,21,5,R,R,1,2,84.1,ball,
831462_ab21_p6,9b93ac0b-82cc-3ac0-a9ce-47512b08d45f,"https://www.mlb.com/video/search?q=playid=""9b93ac0b-82cc-3ac0-a9ce-47512b08d45f""",CH,2026-03-13,831462,21,6,R,R,2,2,85,swinging_strike,
831462_ab22_p2,314f4045-26a5-3c19-99a9-5936ecde5853,"https://www.mlb.com/video/search?q=playid=""314f4045-26a5-3c19-99a9-5936ecde5853""",CH,2026-03-13,831462,22,2,R,R,0,1,84.2,swinging_strike,
831462_ab22_p3,a63eb1e4-7883-3b62-b0fd-5b9026cd56f3,"https://www.mlb.com/video/search?q=playid=""a63eb1e4-7883-3b62-b0fd-5b9026cd56f3""",CH,2026-03-13,831462,22,3,R,R,0,2,82.7,ball,
831462_ab23_p3,20f0d0aa-fe53-34dc-b5ad-251f5fa6a9e4,"https://www.mlb.com/video/search?q=playid=""20f0d0aa-fe53-34dc-b5ad-251f5fa6a9e4""",CH,2026-03-13,831462,23,3,R,R,1,1,83.9,called_strike,
831462_ab24_p1,16b60739-675e-3f88-9e37-2ce8f2b5f44b,"https://www.mlb.com/video/search?q=playid=""16b60739-675e-3f88-9e37-2ce8f2b5f44b""",CH,2026-03-13,831462,24,1,L,R,0,0,83.6,swinging_strike,
831462_ab24_p3,d7ebbc0d-4daf-3037-82cf-9d2dc024f8ea,"https://www.mlb.com/video/search?q=playid=""d7ebbc0d-4daf-3037-82cf-9d2dc024f8ea""",CH,2026-03-13,831462,24,3,L,R,1,1,85.4,ball,
831462_ab25_p2,88d32b50-b3dd-309f-b4de-9333bf71132a,"https://www.mlb.com/video/search?q=playid=""88d32b50-b3dd-309f-b4de-9333bf71132a""",CH,2026-03-13,831462,25,2,R,R,0,1,84.6,blocked_ball,
831462_ab25_p3,4baeb617-8286-3a44-b550-b4a147f52b33,"https://www.mlb.com/video/search?q=playid=""4baeb617-8286-3a44-b550-b4a147f52b33""",CH,2026-03-13,831462,25,3,R,R,1,1,83.4,swinging_strike,
831462_ab25_p4,2de724b3-8f1a-335d-99ab-05527baa6428,"https://www.mlb.com/video/search?q=playid=""2de724b3-8f1a-335d-99ab-05527baa6428""",CH,2026-03-13,831462,25,4,R,R,1,2,84.1,ball,
831457_ab40_p3,8c536005-5041-3829-a779-bdbac57340bf,"https://www.mlb.com/video/search?q=playid=""8c536005-5041-3829-a779-bdbac57340bf""",CH,2026-03-16,831457,40,3,R,R,1,1,83.6,ball,
831457_ab40_p5,7f383328-05c1-3a17-bc48-beef9149710b,"https://www.mlb.com/video/search?q=playid=""7f383328-05c1-3a17-bc48-beef9149710b""",CH,2026-03-16,831457,40,5,R,R,2,2,84.8,ball,
831457_ab40_p6,2383b75e-0f66-3841-88f3-54736c7b3139,"https://www.mlb.com/video/search?q=playid=""2383b75e-0f66-3841-88f3-54736c7b3139""",CH,2026-03-16,831457,40,6,R,R,3,2,84.1,foul,
831457_ab42_p1,79490d87-e67e-3eaa-bde1-8519edc3986b,"https://www.mlb.com/video/search?q=playid=""79490d87-e67e-3eaa-bde1-8519edc3986b""",CH,2026-03-16,831457,42,1,R,R,0,0,84.9,foul,
831457_ab42_p3,2636ca6e-270c-3957-87fb-4f18af91b650,"https://www.mlb.com/video/search?q=playid=""2636ca6e-270c-3957-87fb-4f18af91b650""",CH,2026-03-16,831457,42,3,R,R,0,2,85.1,swinging_strike,
831457_ab43_p2,c11f80db-b224-301a-b521-d73b72f27321,"https://www.mlb.com/video/search?q=playid=""c11f80db-b224-301a-b521-d73b72f27321""",CH,2026-03-16,831457,43,2,L,R,0,1,83.9,swinging_strike,
831457_ab43_p5,0569d81c-8eaf-33da-b612-e75c58a30bec,"https://www.mlb.com/video/search?q=playid=""0569d81c-8eaf-33da-b612-e75c58a30bec""",CH,2026-03-16,831457,43,5,L,R,2,2,84.8,hit_into_play,
823651_ab65_p2,51f0780f-e985-3c02-b259-f4b3e504834f,"https://www.mlb.com/video/search?q=playid=""51f0780f-e985-3c02-b259-f4b3e504834f""",CH,2026-03-28,823651,65,2,L,R,0,1,85.1,ball,
823651_ab67_p1,29fc2ba8-3ac5-3bd1-9756-05892a30fbdd,"https://www.mlb.com/video/search?q=playid=""29fc2ba8-3ac5-3bd1-9756-05892a30fbdd""",CH,2026-03-28,823651,67,1,R,R,0,0,84.1,foul,
823651_ab67_p2,c3336cf6-927d-3d47-a936-e2a561b5ff13,"https://www.mlb.com/video/search?q=playid=""c3336cf6-927d-3d47-a936-e2a561b5ff13""",CH,2026-03-28,823651,67,2,R,R,0,1,86,ball,
823651_ab67_p4,414be65c-67bc-32a5-b503-bfbb608f1574,"https://www.mlb.com/video/search?q=playid=""414be65c-67bc-32a5-b503-bfbb608f1574""",CH,2026-03-28,823651,67,4,R,R,2,1,85.2,hit_into_play,
823651_ab68_p2,50f8e772-5677-3213-a3ec-62de16f46ae0,"https://www.mlb.com/video/search?q=playid=""50f8e772-5677-3213-a3ec-62de16f46ae0""",CH,2026-03-28,823651,68,2,L,R,0,1,85.2,blocked_ball,
823651_ab68_p3,a78a5da6-c9b1-317d-84b5-10423780569b,"https://www.mlb.com/video/search?q=playid=""a78a5da6-c9b1-317d-84b5-10423780569b""",CH,2026-03-28,823651,68,3,L,R,1,1,85.2,foul,
823651_ab68_p4,d3d61ada-0956-3939-a2b8-15a3c8ff1ff9,"https://www.mlb.com/video/search?q=playid=""d3d61ada-0956-3939-a2b8-15a3c8ff1ff9""",CH,2026-03-28,823651,68,4,L,R,1,2,85.7,ball,
823651_ab68_p6,5cf90b18-0fb1-3be0-b994-2b7c19170778,"https://www.mlb.com/video/search?q=playid=""5cf90b18-0fb1-3be0-b994-2b7c19170778""",CH,2026-03-28,823651,68,6,L,R,3,2,86.2,ball,
823651_ab69_p3,84c7e811-52bc-3fe6-a782-8474ff44d877,"https://www.mlb.com/video/search?q=playid=""84c7e811-52bc-3fe6-a782-8474ff44d877""",CH,2026-03-28,823651,69,3,L,R,0,2,85.8,ball,
823080_ab74_p3,9ca52ec2-7b67-34e4-b11f-209294b9fb20,"https://www.mlb.com/video/search?q=playid=""9ca52ec2-7b67-34e4-b11f-209294b9fb20""",CH,2026-03-30,823080,74,3,L,R,1,1,84.6,swinging_strike,
823080_ab74_p4,348441ee-4758-38f2-a707-ca6f365df8fe,"https://www.mlb.com/video/search?q=playid=""348441ee-4758-38f2-a707-ca6f365df8fe""",CH,2026-03-30,823080,74,4,L,R,1,2,84.7,hit_into_play,
823080_ab75_p1,8f8eefa5-7c67-3133-b933-0017c3ac1013,"https://www.mlb.com/video/search?q=playid=""8f8eefa5-7c67-3133-b933-0017c3ac1013""",CH,2026-03-30,823080,75,1,R,R,0,0,84,called_strike,
823080_ab75_p3,a84d40eb-ab9e-30ee-b886-3847e22ee65d,"https://www.mlb.com/video/search?q=playid=""a84d40eb-ab9e-30ee-b886-3847e22ee65d""",CH,2026-03-30,823080,75,3,R,R,0,2,85.4,ball,
823080_ab76_p2,3b083a44-d301-33e4-937b-41b6e7ac4731,"https://www.mlb.com/video/search?q=playid=""3b083a44-d301-33e4-937b-41b6e7ac4731""",CH,2026-03-30,823080,76,2,L,R,0,1,85.2,swinging_strike,
823080_ab76_p4,4a685c27-2c3c-3baa-bfac-fccac5a993b4,"https://www.mlb.com/video/search?q=playid=""4a685c27-2c3c-3baa-bfac-fccac5a993b4""",CH,2026-03-30,823080,76,4,L,R,0,2,85.6,swinging_strike,
823078_ab65_p2,37753971-79d3-3bd2-aaa9-463efee6f715,"https://www.mlb.com/video/search?q=playid=""37753971-79d3-3bd2-aaa9-463efee6f715""",CH,2026-04-01,823078,65,2,R,R,1,0,84.1,ball,
823078_ab66_p1,b03edcec-5caa-37a1-b782-85d773aaeac4,"https://www.mlb.com/video/search?q=playid=""b03edcec-5caa-37a1-b782-85d773aaeac4""",CH,2026-04-01,823078,66,1,L,R,0,0,83.9,swinging_strike,
823078_ab66_p4,69058015-3ff6-3226-ac77-2abd760f4d89,"https://www.mlb.com/video/search?q=playid=""69058015-3ff6-3226-ac77-2abd760f4d89""",CH,2026-04-01,823078,66,4,L,R,2,1,84,foul,
823078_ab66_p5,8a204b06-34f9-3e4f-b625-61be7cdbb14b,"https://www.mlb.com/video/search?q=playid=""8a204b06-34f9-3e4f-b625-61be7cdbb14b""",CH,2026-04-01,823078,66,5,L,R,2,2,85,blocked_ball,
823078_ab67_p2,8a67ccfb-a703-3ecd-8f9a-5de5b459c7bf,"https://www.mlb.com/video/search?q=playid=""8a67ccfb-a703-3ecd-8f9a-5de5b459c7bf""",CH,2026-04-01,823078,67,2,R,R,1,0,84.7,ball,
823078_ab67_p3,33f3c1af-0516-3cf8-bd66-7f71186d6bf0,"https://www.mlb.com/video/search?q=playid=""33f3c1af-0516-3cf8-bd66-7f71186d6bf0""",CH,2026-04-01,823078,67,3,R,R,2,0,84.8,swinging_strike,
823078_ab67_p5,60b575fe-7002-366d-bd8b-523dca021e20,"https://www.mlb.com/video/search?q=playid=""60b575fe-7002-366d-bd8b-523dca021e20""",CH,2026-04-01,823078,67,5,R,R,2,2,85.8,hit_into_play,
823078_ab68_p1,d740ad87-0f5e-343f-a1a8-854e56d3e410,"https://www.mlb.com/video/search?q=playid=""d740ad87-0f5e-343f-a1a8-854e56d3e410""",CH,2026-04-01,823078,68,1,R,R,0,0,83.8,foul,
823078_ab68_p3,a89a9387-4ba9-33dc-81c2-a1872de70ee4,"https://www.mlb.com/video/search?q=playid=""a89a9387-4ba9-33dc-81c2-a1872de70ee4""",CH,2026-04-01,823078,68,3,R,R,0,2,87.1,swinging_strike,
823238_ab71_p4,3d6b78f7-2862-3b1c-83b8-c389e9ba44d0,"https://www.mlb.com/video/search?q=playid=""3d6b78f7-2862-3b1c-83b8-c389e9ba44d0""",CH,2026-04-05,823238,71,4,R,R,1,2,85.3,foul,
823238_ab71_p5,add94e98-db95-3b07-9b6d-27e1b780d91d,"https://www.mlb.com/video/search?q=playid=""add94e98-db95-3b07-9b6d-27e1b780d91d""",CH,2026-04-05,823238,71,5,R,R,1,2,85.1,ball,
823238_ab71_p7,108fdc5b-6ae9-3c79-8873-ea0e55eeea0d,"https://www.mlb.com/video/search?q=playid=""108fdc5b-6ae9-3c79-8873-ea0e55eeea0d""",CH,2026-04-05,823238,71,7,R,R,2,2,84.9,hit_into_play,
823238_ab73_p1,50fd21f4-741c-38a6-9296-f6b7d9b0d58e,"https://www.mlb.com/video/search?q=playid=""50fd21f4-741c-38a6-9296-f6b7d9b0d58e""",CH,2026-04-05,823238,73,1,R,R,0,0,85.3,ball,
823238_ab74_p5,664774e8-845d-388e-9b45-c7626b234099,"https://www.mlb.com/video/search?q=playid=""664774e8-845d-388e-9b45-c7626b234099""",CH,2026-04-05,823238,74,5,L,R,2,2,85.8,foul,
823238_ab74_p6,52e92db1-2030-3028-8fb0-15dce45c712d,"https://www.mlb.com/video/search?q=playid=""52e92db1-2030-3028-8fb0-15dce45c712d""",CH,2026-04-05,823238,74,6,L,R,2,2,83.9,ball,
823648_ab71_p1,2d79b7ed-ce92-3a34-a344-8efb00a9f237,"https://www.mlb.com/video/search?q=playid=""2d79b7ed-ce92-3a34-a344-8efb00a9f237""",CH,2026-04-07,823648,71,1,L,R,0,0,83.1,foul,
823648_ab71_p3,d8756b31-83bf-3eae-a1b0-7a62c9e43f69,"https://www.mlb.com/video/search?q=playid=""d8756b31-83bf-3eae-a1b0-7a62c9e43f69""",CH,2026-04-07,823648,71,3,L,R,0,2,84.3,ball,
823648_ab71_p4,75d089d4-9657-3dc9-b09b-67cd0d956e3d,"https://www.mlb.com/video/search?q=playid=""75d089d4-9657-3dc9-b09b-67cd0d956e3d""",CH,2026-04-07,823648,71,4,L,R,1,2,84.8,hit_into_play,
823648_ab72_p1,0e03c763-6b8d-3a40-92db-dc2c568d8202,"https://www.mlb.com/video/search?q=playid=""0e03c763-6b8d-3a40-92db-dc2c568d8202""",CH,2026-04-07,823648,72,1,L,R,0,0,83.6,foul_tip,
823648_ab72_p2,901f3636-8bcb-33c0-9c6a-a1a23ada1473,"https://www.mlb.com/video/search?q=playid=""901f3636-8bcb-33c0-9c6a-a1a23ada1473""",CH,2026-04-07,823648,72,2,L,R,0,1,83.7,foul,
823648_ab73_p2,71b1d8d6-6926-3a3f-9186-bfb435288b07,"https://www.mlb.com/video/search?q=playid=""71b1d8d6-6926-3a3f-9186-bfb435288b07""",CH,2026-04-07,823648,73,2,L,R,0,1,85.5,hit_into_play,
823648_ab74_p2,73750d9f-85f9-3a51-b02b-f5c9726bcac6,"https://www.mlb.com/video/search?q=playid=""73750d9f-85f9-3a51-b02b-f5c9726bcac6""",CH,2026-04-07,823648,74,2,R,R,1,0,85.3,foul,
823648_ab74_p3,5b469498-cf1c-3111-8235-ee887aef2620,"https://www.mlb.com/video/search?q=playid=""5b469498-cf1c-3111-8235-ee887aef2620""",CH,2026-04-07,823648,74,3,R,R,1,1,86.2,called_strike,
823648_ab74_p4,6750560f-9369-346a-8b16-8812f9e808b8,"https://www.mlb.com/video/search?q=playid=""6750560f-9369-346a-8b16-8812f9e808b8""",CH,2026-04-07,823648,74,4,R,R,1,2,84.7,hit_into_play,
823963_ab60_p1,f3f29312-7dff-3850-9aa7-222c7a3fbec8,"https://www.mlb.com/video/search?q=playid=""f3f29312-7dff-3850-9aa7-222c7a3fbec8""",CH,2026-04-15,823963,60,1,R,R,0,0,83.9,called_strike,
823963_ab60_p2,58cd98cd-177c-3c1e-80a6-91d99685a7d6,"https://www.mlb.com/video/search?q=playid=""58cd98cd-177c-3c1e-80a6-91d99685a7d6""",CH,2026-04-15,823963,60,2,R,R,0,1,85.3,ball,
823963_ab60_p5,9c42a7f5-ad27-3000-8374-e8e85c48880a,"https://www.mlb.com/video/search?q=playid=""9c42a7f5-ad27-3000-8374-e8e85c48880a""",CH,2026-04-15,823963,60,5,R,R,2,2,87.5,ball,
823963_ab60_p6,55740219-8ec6-3dbd-8b5c-6df7e6030ca7,"https://www.mlb.com/video/search?q=playid=""55740219-8ec6-3dbd-8b5c-6df7e6030ca7""",CH,2026-04-15,823963,60,6,R,R,3,2,85.8,foul,
823963_ab60_p7,d9cd1bed-fd73-3698-821a-04ccc95b1ef8,"https://www.mlb.com/video/search?q=playid=""d9cd1bed-fd73-3698-821a-04ccc95b1ef8""",CH,2026-04-15,823963,60,7,R,R,3,2,84.9,hit_into_play,
823963_ab61_p3,a8a20824-8f2d-312f-8815-291d8af63460,"https://www.mlb.com/video/search?q=playid=""a8a20824-8f2d-312f-8815-291d8af63460""",CH,2026-04-15,823963,61,3,L,R,2,0,85.2,ball,
823963_ab62_p2,8c09c1f9-5fbf-3360-b9fe-e60019ff074b,"https://www.mlb.com/video/search?q=playid=""8c09c1f9-5fbf-3360-b9fe-e60019ff074b""",CH,2026-04-15,823963,62,2,R,R,0,1,85.9,ball,
823963_ab62_p3,5c290876-ba0b-3cf6-a188-66a62babd80f,"https://www.mlb.com/video/search?q=playid=""5c290876-ba0b-3cf6-a188-66a62babd80f""",CH,2026-04-15,823963,62,3,R,R,1,1,87,hit_into_play,
823963_ab63_p1,a8356451-81f4-39a8-9b48-762f6b00a7a2,"https://www.mlb.com/video/search?q=playid=""a8356451-81f4-39a8-9b48-762f6b00a7a2""",CH,2026-04-15,823963,63,1,L,R,0,0,85,hit_into_play,
823963_ab64_p4,1634e531-619a-3bc1-b09a-ec48e158690b,"https://www.mlb.com/video/search?q=playid=""1634e531-619a-3bc1-b09a-ec48e158690b""",CH,2026-04-15,823963,64,4,L,R,1,2,86.1,swinging_strike_blocked,
824691_ab64_p3,abc91c0e-7a4f-3116-ac88-f1a47d985554,"https://www.mlb.com/video/search?q=playid=""abc91c0e-7a4f-3116-ac88-f1a47d985554""",CH,2026-04-19,824691,64,3,L,R,1,1,86.4,called_strike,
824691_ab64_p4,7f06601d-2ed6-373e-9b14-d6ba78c8001e,"https://www.mlb.com/video/search?q=playid=""7f06601d-2ed6-373e-9b14-d6ba78c8001e""",CH,2026-04-19,824691,64,4,L,R,1,2,85.8,hit_into_play,
824691_ab67_p2,d40b661a-010a-3fee-8867-df88d7b1d077,"https://www.mlb.com/video/search?q=playid=""d40b661a-010a-3fee-8867-df88d7b1d077""",CH,2026-04-19,824691,67,2,R,R,0,1,86.9,blocked_ball,
824691_ab67_p3,a4a0c1a2-fc11-370a-ba87-87b5cdfea86d,"https://www.mlb.com/video/search?q=playid=""a4a0c1a2-fc11-370a-ba87-87b5cdfea86d""",CH,2026-04-19,824691,67,3,R,R,1,1,86.1,foul,
824691_ab68_p1,8cbd3571-2af4-3bc8-ad57-0c59dfbf6c19,"https://www.mlb.com/video/search?q=playid=""8cbd3571-2af4-3bc8-ad57-0c59dfbf6c19""",CH,2026-04-19,824691,68,1,L,R,0,0,86.5,ball,
824691_ab68_p2,d094056f-9cb2-3bb3-8195-c5a1d763ddbd,"https://www.mlb.com/video/search?q=playid=""d094056f-9cb2-3bb3-8195-c5a1d763ddbd""",CH,2026-04-19,824691,68,2,L,R,1,0,84.6,swinging_strike_blocked,
824691_ab68_p3,d288b4cc-1f09-3989-974c-1370f7c418d6,"https://www.mlb.com/video/search?q=playid=""d288b4cc-1f09-3989-974c-1370f7c418d6""",CH,2026-04-19,824691,68,3,L,R,1,1,85.2,foul,
824691_ab68_p5,3f05cd6a-2b5a-3640-aeac-e933ec4d031b,"https://www.mlb.com/video/search?q=playid=""3f05cd6a-2b5a-3640-aeac-e933ec4d031b""",CH,2026-04-19,824691,68,5,L,R,1,2,85.8,foul,
824691_ab68_p6,94466b25-4b3d-3341-b527-fcb54e6b008f,"https://www.mlb.com/video/search?q=playid=""94466b25-4b3d-3341-b527-fcb54e6b008f""",CH,2026-04-19,824691,68,6,L,R,1,2,86.5,blocked_ball,
824691_ab68_p7,c10a2286-c512-3d8c-a833-5847fb4d5d53,"https://www.mlb.com/video/search?q=playid=""c10a2286-c512-3d8c-a833-5847fb4d5d53""",CH,2026-04-19,824691,68,7,L,R,2,2,85,blocked_ball,
824691_ab68_p8,241224bb-2ef7-36dd-a0a3-84a1926613b3,"https://www.mlb.com/video/search?q=playid=""241224bb-2ef7-36dd-a0a3-84a1926613b3""",CH,2026-04-19,824691,68,8,L,R,3,2,87.1,swinging_strike_blocked,
823640_ab61_p3,6444868f-9ed4-3b0e-9737-85f1c8bf5273,"https://www.mlb.com/video/search?q=playid=""6444868f-9ed4-3b0e-9737-85f1c8bf5273""",CH,2026-04-21,823640,61,3,L,R,2,0,83.7,ball,
823640_ab62_p4,e4cc707c-ec83-38e3-af73-f7697bfad726,"https://www.mlb.com/video/search?q=playid=""e4cc707c-ec83-38e3-af73-f7697bfad726""",CH,2026-04-21,823640,62,4,R,R,1,2,85.2,blocked_ball,
823640_ab62_p5,13221cc8-2229-3991-ba00-515da6a5cf66,"https://www.mlb.com/video/search?q=playid=""13221cc8-2229-3991-ba00-515da6a5cf66""",CH,2026-04-21,823640,62,5,R,R,2,2,84.9,ball,
823640_ab62_p6,2c689be2-21b2-3f3f-a143-ab3c51c15bbf,"https://www.mlb.com/video/search?q=playid=""2c689be2-21b2-3f3f-a143-ab3c51c15bbf""",CH,2026-04-21,823640,62,6,R,R,3,2,85.3,blocked_ball,
823640_ab64_p1,76286fa2-170c-35b6-bd9f-fd3a49cd2845,"https://www.mlb.com/video/search?q=playid=""76286fa2-170c-35b6-bd9f-fd3a49cd2845""",CH,2026-04-21,823640,64,1,R,R,0,0,85.1,called_strike,
823640_ab65_p2,5813b91d-ec6f-3f64-bba4-3e17f94eb114,"https://www.mlb.com/video/search?q=playid=""5813b91d-ec6f-3f64-bba4-3e17f94eb114""",CH,2026-04-21,823640,65,2,L,R,1,0,85,ball,
823640_ab65_p6,27b8e908-b4dd-3675-adeb-04205ca5a48e,"https://www.mlb.com/video/search?q=playid=""27b8e908-b4dd-3675-adeb-04205ca5a48e""",CH,2026-04-21,823640,65,6,L,R,2,2,86.7,ball,
823640_ab65_p8,d9268483-ded2-359b-9f85-e3e594760751,"https://www.mlb.com/video/search?q=playid=""d9268483-ded2-359b-9f85-e3e594760751""",CH,2026-04-21,823640,65,8,L,R,3,2,85.1,ball,
823639_ab81_p3,6d764777-d382-3906-a2e2-67c317a95c4c,"https://www.mlb.com/video/search?q=playid=""6d764777-d382-3906-a2e2-67c317a95c4c""",CH,2026-04-23,823639,81,3,R,R,1,1,84.3,swinging_strike,
823639_ab81_p4,6978b8f3-da89-35ad-af65-0b09798df27e,"https://www.mlb.com/video/search?q=playid=""6978b8f3-da89-35ad-af65-0b09798df27e""",CH,2026-04-23,823639,81,4,R,R,1,2,83.9,swinging_strike,
823639_ab82_p1,4a61c481-636c-39f5-8ee7-c1a77c627701,"https://www.mlb.com/video/search?q=playid=""4a61c481-636c-39f5-8ee7-c1a77c627701""",CH,2026-04-23,823639,82,1,L,R,0,0,85.1,ball,
823639_ab82_p2,74734684-96c1-3a9e-89e3-12dca80f368e,"https://www.mlb.com/video/search?q=playid=""74734684-96c1-3a9e-89e3-12dca80f368e""",CH,2026-04-23,823639,82,2,L,R,1,0,83.7,swinging_strike,
823639_ab82_p3,5a90a6df-7d95-3f50-9035-69813456833c,"https://www.mlb.com/video/search?q=playid=""5a90a6df-7d95-3f50-9035-69813456833c""",CH,2026-04-23,823639,82,3,L,R,1,1,84.2,ball,
823639_ab82_p4,d96a07f7-a650-3e1f-9512-dc39dfd385e5,"https://www.mlb.com/video/search?q=playid=""d96a07f7-a650-3e1f-9512-dc39dfd385e5""",CH,2026-04-23,823639,82,4,L,R,2,1,84.3,swinging_strike,
823639_ab82_p7,bd8fe3c0-6af0-34e8-a4bd-96d56958094b,"https://www.mlb.com/video/search?q=playid=""bd8fe3c0-6af0-34e8-a4bd-96d56958094b""",CH,2026-04-23,823639,82,7,L,R,3,2,84.8,hit_into_play,
823639_ab84_p2,8dc32fd7-e00c-376c-a69c-3b123f51d8cd,"https://www.mlb.com/video/search?q=playid=""8dc32fd7-e00c-376c-a69c-3b123f51d8cd""",CH,2026-04-23,823639,84,2,R,R,1,0,85.2,hit_into_play,
823639_ab85_p1,f3275107-d67d-38f1-986a-3215a269b87d,"https://www.mlb.com/video/search?q=playid=""f3275107-d67d-38f1-986a-3215a269b87d""",CH,2026-04-23,823639,85,1,L,R,0,0,84.2,called_strike,
823639_ab85_p2,3b47924d-f253-318b-9dfd-0dc711bb10ec,"https://www.mlb.com/video/search?q=playid=""3b47924d-f253-318b-9dfd-0dc711bb10ec""",CH,2026-04-23,823639,85,2,L,R,0,1,84,blocked_ball,
823639_ab85_p4,242319a7-827f-373a-bbb6-a2b79aa9ec10,"https://www.mlb.com/video/search?q=playid=""242319a7-827f-373a-bbb6-a2b79aa9ec10""",CH,2026-04-23,823639,85,4,L,R,2,1,84.5,foul,
